timestamp,PM2.5,humidity,temperature
2021-01-01 00:00:00,41.7,60.3,14.0
2021-01-01 01:00:00,45.8,60.4,13.8
2021-01-01 02:00:00,44.8,54.6,13.7
2021-01-01 03:00:00,66.0,61.0,13.0
2021-01-01 04:00:00,72.1,58.5,12.2
2021-01-01 05:00:00,52.6,56.5,11.8
2021-01-01 06:00:00,52.3,56.1,11.4
2021-01-01 07:00:00,65.3,60.6,10.9
2021-01-01 08:00:00,62.6,52.9,12.4
2021-01-01 09:00:00,47.0,38.5,15.3
2021-01-01 10:00:00,43.6,31.7,17.6
2021-01-01 11:00:00,43.2,28.3,18.8
2021-01-01 12:00:00,42.5,25.5,20.4
2021-01-01 13:00:00,40.9,22.8,21.4
2021-01-01 14:00:00,39.0,21.4,22.2
2021-01-01 15:00:00,39.6,21.3,22.8
2021-01-01 16:00:00,40.6,23.2,22.3
2021-01-01 17:00:00,42.5,26.0,20.9
2021-01-01 18:00:00,44.6,32.3,17.5
2021-01-01 19:00:00,49.7,36.0,16.5
2021-01-01 20:00:00,59.4,37.1,16.1
2021-01-01 21:00:00,61.3,39.6,15.9
2021-01-01 22:00:00,89.4,46.6,14.7
2021-01-01 23:00:00,92.4,54.8,13.8
2021-01-02 00:00:00,81.52,53.1,13.7
2021-01-02 01:00:00,100.24,58.8,13.5
2021-01-02 02:00:00,97.8,62.0,13.3
2021-01-02 03:00:00,96.21,67.6,12.5
2021-01-02 04:00:00,91.43,72.0,11.9
2021-01-02 05:00:00,90.65,76.1,11.5
2021-01-02 06:00:00,94.78,75.8,11.3
2021-01-02 07:00:00,70.43,66.6,11.5
2021-01-02 08:00:00,75.8,56.7,13.2
2021-01-02 09:00:00,82.4,49.3,16.4
2021-01-02 10:00:00,106.57,50.4,18.4
2021-01-02 11:00:00,90.5,44.8,19.6
2021-01-02 12:00:00,78.4,39.5,21.1
2021-01-02 13:00:00,74.1,37.5,21.4
2021-01-02 14:00:00,68.3,34.5,22.7
2021-01-02 15:00:00,61.6,31.5,23.7
2021-01-02 16:00:00,55.3,29.4,24.0
2021-01-02 17:00:00,73.4,34.5,21.8
2021-01-02 18:00:00,79.3,42.0,18.6
2021-01-02 19:00:00,77.8,43.9,17.6
2021-01-02 20:00:00,78.3,46.2,17.2
2021-01-02 21:00:00,69.0,44.9,17.0
2021-01-02 22:00:00,70.3,52.8,15.8
2021-01-02 23:00:00,54.7,57.0,15.3
2021-01-03 00:00:00,51.2,58.4,15.1
2021-01-03 01:00:00,65.2,63.8,14.6
2021-01-03 02:00:00,73.0,69.2,14.3
2021-01-03 03:00:00,61.03,72.8,13.7
2021-01-03 04:00:00,61.53,75.5,13.4
2021-01-03 05:00:00,77.01,73.3,12.8
2021-01-03 06:00:00,63.66,70.0,12.3
2021-01-03 07:00:00,69.31,67.2,12.5
2021-01-03 08:00:00,78.07,66.3,13.6
2021-01-03 09:00:00,97.46,63.8,15.6
2021-01-03 10:00:00,98.08,57.5,18.1
2021-01-03 11:00:00,99.71,50.6,20.0
2021-01-03 12:00:00,85.0,43.2,22.0
2021-01-03 13:00:00,75.4,41.1,23.2
2021-01-03 14:00:00,71.2,41.3,22.7
2021-01-03 15:00:00,57.9,43.0,20.7
2021-01-03 16:00:00,55.8,46.2,19.1
2021-01-03 17:00:00,52.2,47.4,18.1
2021-01-03 18:00:00,51.9,48.0,17.6
2021-01-03 19:00:00,51.8,53.3,17.4
2021-01-03 20:00:00,55.8,55.6,17.3
2021-01-03 21:00:00,59.0,55.3,17.4
2021-01-03 22:00:00,70.3,56.9,17.2
2021-01-03 23:00:00,78.3,55.2,17.0
2021-01-04 00:00:00,74.1,54.9,16.8
2021-01-04 01:00:00,76.7,54.8,16.6
2021-01-04 02:00:00,79.8,55.0,16.6
2021-01-04 03:00:00,75.73,59.1,16.3
2021-01-04 04:00:00,83.38,63.2,16.0
2021-01-04 05:00:00,83.84,62.3,16.1
2021-01-04 06:00:00,75.86,61.4,16.2
2021-01-04 07:00:00,74.7,63.0,16.1
2021-01-04 08:00:00,74.06,64.8,16.1
2021-01-04 09:00:00,81.18,62.1,16.8
2021-01-04 10:00:00,92.28,57.8,18.0
2021-01-04 11:00:00,90.5,49.8,19.0
2021-01-04 12:00:00,75.1,44.7,19.9
2021-01-04 13:00:00,83.1,44.9,20.3
2021-01-04 14:00:00,64.7,39.3,21.5
2021-01-04 15:00:00,66.1,41.0,21.2
2021-01-04 16:00:00,62.9,42.1,20.8
2021-01-04 17:00:00,65.9,43.6,20.2
2021-01-04 18:00:00,76.8,45.9,19.6
2021-01-04 19:00:00,93.4,48.1,19.1
2021-01-04 20:00:00,104.74,51.5,18.4
2021-01-04 21:00:00,110.35,53.6,18.0
2021-01-04 22:00:00,113.1290909090909,55.690909090909095,17.80909090909091
2021-01-04 23:00:00,115.90818181818182,57.78181818181818,17.618181818181817
2021-01-05 00:00:00,118.68727272727273,59.872727272727275,17.427272727272726
2021-01-05 01:00:00,121.46636363636362,61.96363636363636,17.236363636363638
2021-01-05 02:00:00,124.24545454545454,64.05454545454545,17.045454545454547
2021-01-05 03:00:00,127.02454545454545,66.14545454545454,16.854545454545455
2021-01-05 04:00:00,129.80363636363634,68.23636363636363,16.663636363636364
2021-01-05 05:00:00,132.58272727272725,70.32727272727273,16.472727272727273
2021-01-05 06:00:00,135.36181818181817,72.41818181818181,16.28181818181818
2021-01-05 07:00:00,138.14090909090908,74.5090909090909,16.09090909090909
2021-01-05 08:00:00,140.92,76.6,15.9
2021-01-05 09:00:00,120.35,74.2,16.5
2021-01-05 10:00:00,116.87,68.5,17.7
2021-01-05 11:00:00,119.37,61.5,19.1
2021-01-05 12:00:00,118.66,61.8,19.4
2021-01-05 13:00:00,115.96,60.3,20.0
2021-01-05 14:00:00,119.5,60.6,20.0
2021-01-05 15:00:00,115.38,61.5,19.7
2021-01-05 16:00:00,115.27,61.8,19.7
2021-01-05 17:00:00,111.67,63.6,19.4
2021-01-05 18:00:00,89.91,65.1,19.1
2021-01-05 19:00:00,83.42,65.9,19.0
2021-01-05 20:00:00,80.23,67.9,18.6
2021-01-05 21:00:00,74.63,69.9,18.4
2021-01-05 22:00:00,68.15,71.1,18.2
2021-01-05 23:00:00,70.1,73.3,17.9
2021-01-06 00:00:00,69.51,76.2,17.6
2021-01-06 01:00:00,62.72,77.6,17.3
2021-01-06 02:00:00,58.96,75.0,17.0
2021-01-06 03:00:00,59.51,74.5,16.9
2021-01-06 04:00:00,61.47,74.7,16.7
2021-01-06 05:00:00,60.05,74.2,16.5
2021-01-06 06:00:00,59.17,72.9,16.5
2021-01-06 07:00:00,60.41,71.9,16.4
2021-01-06 08:00:00,63.5,70.6,16.7
2021-01-06 09:00:00,65.77,68.3,17.1
2021-01-06 10:00:00,65.56,67.5,17.2
2021-01-06 11:00:00,71.23,65.9,17.7
2021-01-06 12:00:00,70.23,66.8,17.6
2021-01-06 13:00:00,70.98,64.7,18.0
2021-01-06 14:00:00,70.23,64.5,18.1
2021-01-06 15:00:00,72.88,64.4,18.4
2021-01-06 16:00:00,72.08,64.7,18.3
2021-01-06 17:00:00,72.32,66.6,17.7
2021-01-06 18:00:00,72.76,67.3,17.4
2021-01-06 19:00:00,81.17,68.0,17.4
2021-01-06 20:00:00,88.15,70.4,17.3
2021-01-06 21:00:00,84.72,71.1,17.1
2021-01-06 22:00:00,83.96,71.9,16.9
2021-01-06 23:00:00,83.73,71.5,16.9
2021-01-07 00:00:00,82.4,70.2,16.9
2021-01-07 01:00:00,87.65,71.6,16.8
2021-01-07 02:00:00,85.28,73.1,16.6
2021-01-07 03:00:00,79.24,71.6,16.5
2021-01-07 04:00:00,76.9,73.4,16.2
2021-01-07 05:00:00,76.35,75.4,15.9
2021-01-07 06:00:00,79.92,71.8,15.6
2021-01-07 07:00:00,74.96,70.1,15.3
2021-01-07 08:00:00,72.54,73.9,14.7
2021-01-07 09:00:00,70.86,79.4,13.8
2021-01-07 10:00:00,69.11,77.2,13.9
2021-01-07 11:00:00,65.69,73.7,14.3
2021-01-07 12:00:00,73.3,70.1,14.8
2021-01-07 13:00:00,55.1,66.8,15.1
2021-01-07 14:00:00,50.8,65.2,15.2
2021-01-07 15:00:00,47.2,66.4,14.8
2021-01-07 16:00:00,47.5,68.2,14.4
2021-01-07 17:00:00,50.4,68.6,14.2
2021-01-07 18:00:00,47.2,69.5,13.9
2021-01-07 19:00:00,48.7,71.9,13.5
2021-01-07 20:00:00,44.8,73.1,13.2
2021-01-07 21:00:00,42.3,73.9,12.9
2021-01-07 22:00:00,37.6,74.8,12.7
2021-01-07 23:00:00,31.7,74.8,12.5
2021-01-08 00:00:00,31.0,75.7,12.2
2021-01-08 01:00:00,30.3,74.7,11.9
2021-01-08 02:00:00,28.3,71.4,11.8
2021-01-08 03:00:00,26.7,69.7,11.6
2021-01-08 04:00:00,26.1,69.6,11.2
2021-01-08 05:00:00,25.1,68.7,11.0
2021-01-08 06:00:00,24.1,68.0,10.8
2021-01-08 07:00:00,24.2,69.4,10.8
2021-01-08 08:00:00,24.4,67.8,10.9
2021-01-08 09:00:00,25.7,61.8,11.0
2021-01-08 10:00:00,25.6,58.9,11.1
2021-01-08 11:00:00,28.8,57.8,11.5
2021-01-08 12:00:00,28.4,55.3,12.3
2021-01-08 13:00:00,26.4,53.9,12.5
2021-01-08 14:00:00,26.1,52.7,12.7
2021-01-08 15:00:00,26.8,52.3,13.3
2021-01-08 16:00:00,28.7,53.8,12.7
2021-01-08 17:00:00,29.2,54.7,12.4
2021-01-08 18:00:00,31.2,55.4,12.0
2021-01-08 19:00:00,35.4,56.0,11.9
2021-01-08 20:00:00,38.9,56.9,11.4
2021-01-08 21:00:00,34.4,57.7,11.1
2021-01-08 22:00:00,36.5,60.1,10.6
2021-01-08 23:00:00,36.8,61.5,10.2
2021-01-09 00:00:00,37.2,60.9,10.1
