timestamp,PM2.5,humidity,temperature
2021-01-01 00:00:00,66.1,67.9,13.6
2021-01-01 01:00:00,57.7,64.0,13.3
2021-01-01 02:00:00,60.9,59.0,13.2
2021-01-01 03:00:00,92.45,63.7,12.9
2021-01-01 04:00:00,106.93,60.5,12.3
2021-01-01 05:00:00,97.95,57.3,11.8
2021-01-01 06:00:00,67.4,58.4,11.3
2021-01-01 07:00:00,74.1,60.5,10.9
2021-01-01 08:00:00,65.8,53.9,11.5
2021-01-01 09:00:00,51.0,41.6,14.1
2021-01-01 10:00:00,41.3,35.9,15.4
2021-01-01 11:00:00,43.4,34.0,15.7
2021-01-01 12:00:00,48.8,33.4,16.3
2021-01-01 13:00:00,45.9,30.3,17.0
2021-01-01 14:00:00,45.7,29.4,17.5
2021-01-01 15:00:00,44.3,29.8,17.5
2021-01-01 16:00:00,43.2,32.0,17.3
2021-01-01 17:00:00,47.9,32.9,17.0
2021-01-01 18:00:00,55.7,41.0,15.8
2021-01-01 19:00:00,66.3,49.8,14.5
2021-01-01 20:00:00,77.29,53.6,14.1
2021-01-01 21:00:00,96.71,56.5,13.7
2021-01-01 22:00:00,110.55,56.9,13.6
2021-01-01 23:00:00,114.94,59.3,13.2
2021-01-02 00:00:00,125.55,64.0,13.0
2021-01-02 01:00:00,148.87,63.9,12.7
2021-01-02 02:00:00,188.36,64.8,12.4
2021-01-02 03:00:00,179.97,69.6,12.1
2021-01-02 04:00:00,144.53,74.4,11.8
2021-01-02 05:00:00,128.66,75.3,11.6
2021-01-02 06:00:00,158.35,69.5,11.7
2021-01-02 07:00:00,123.95,68.9,11.2
2021-01-02 08:00:00,104.8,59.8,12.4
2021-01-02 09:00:00,112.24,54.3,15.3
2021-01-02 10:00:00,120.6,50.0,17.0
2021-01-02 11:00:00,106.6,47.4,17.2
2021-01-02 12:00:00,128.6,47.6,17.6
2021-01-02 13:00:00,115.5,44.2,18.3
2021-01-02 14:00:00,104.9,42.5,18.7
2021-01-02 15:00:00,109.1,42.0,18.8
2021-01-02 16:00:00,105.6,42.1,18.8
2021-01-02 17:00:00,120.3,44.1,18.3
2021-01-02 18:00:00,155.5,50.0,17.1
2021-01-02 19:00:00,148.87,55.6,16.1
2021-01-02 20:00:00,161.75,58.6,15.7
2021-01-02 21:00:00,179.93,58.8,15.5
2021-01-02 22:00:00,139.48,61.2,14.9
2021-01-02 23:00:00,93.36,65.7,14.5
2021-01-03 00:00:00,92.15,70.9,13.9
2021-01-03 01:00:00,87.07,74.2,13.7
2021-01-03 02:00:00,107.22,76.4,13.3
2021-01-03 03:00:00,109.64,78.2,13.1
2021-01-03 04:00:00,92.58,78.5,13.2
2021-01-03 05:00:00,163.76,77.5,12.9
2021-01-03 06:00:00,123.37,73.0,12.3
2021-01-03 07:00:00,126.61,70.9,12.2
2021-01-03 08:00:00,136.24,68.1,13.5
2021-01-03 09:00:00,145.85,61.9,16.1
2021-01-03 10:00:00,147.06,59.2,17.6
2021-01-03 11:00:00,144.41,56.1,18.3
2021-01-03 12:00:00,155.78,52.7,18.5
2021-01-03 13:00:00,165.02,51.8,19.5
2021-01-03 14:00:00,101.8,47.9,20.1
2021-01-03 15:00:00,81.6,48.4,19.2
2021-01-03 16:00:00,66.2,49.6,18.4
2021-01-03 17:00:00,61.7,50.6,17.8
2021-01-03 18:00:00,68.6,52.5,17.3
2021-01-03 19:00:00,72.85,56.4,17.1
2021-01-03 20:00:00,88.32,57.9,17.0
2021-01-03 21:00:00,84.99,58.5,16.9
2021-01-03 22:00:00,85.31,58.4,17.0
2021-01-03 23:00:00,106.17,57.4,16.8
2021-01-04 00:00:00,108.84,57.5,16.6
2021-01-04 01:00:00,120.85,58.3,16.5
2021-01-04 02:00:00,134.79,57.4,16.5
2021-01-04 03:00:00,119.69,58.0,16.5
2021-01-04 04:00:00,144.56,61.6,16.4
2021-01-04 05:00:00,138.58,62.5,16.3
2021-01-04 06:00:00,124.63,64.7,16.2
2021-01-04 07:00:00,112.53,64.3,16.0
2021-01-04 08:00:00,120.38,64.0,16.1
2021-01-04 09:00:00,115.44,60.6,16.8
2021-01-04 10:00:00,110.43,54.1,17.7
2021-01-04 11:00:00,110.0,48.5,18.8
2021-01-04 12:00:00,96.6,45.2,19.6
2021-01-04 13:00:00,91.2,43.3,20.3
2021-01-04 14:00:00,90.5,42.9,20.9
2021-01-04 15:00:00,85.4,43.3,20.8
2021-01-04 16:00:00,86.2,44.9,20.5
2021-01-04 17:00:00,99.1,45.9,20.0
2021-01-04 18:00:00,120.3,49.7,19.4
2021-01-04 19:00:00,143.1,57.2,18.4
2021-01-04 20:00:00,135.55,63.1,16.9
2021-01-04 21:00:00,140.21,67.0,16.2
2021-01-04 22:00:00,147.43,69.5,15.9
2021-01-04 23:00:00,179.66,68.2,15.9
2021-01-05 00:00:00,185.36,69.4,16.1
2021-01-05 01:00:00,188.66,70.5,17.0
2021-01-05 02:00:00,180.87,70.8,17.3
2021-01-05 03:00:00,177.82,74.2,17.0
2021-01-05 04:00:00,173.9,76.5,16.7
2021-01-05 05:00:00,215.24,74.5,17.0
2021-01-05 06:00:00,263.15,74.5,16.8
2021-01-05 07:00:00,200.39,73.7,16.7
2021-01-05 08:00:00,183.1,70.6,17.1
2021-01-05 09:00:00,236.09,73.4,17.4
2021-01-05 10:00:00,228.19,67.2,18.3
2021-01-05 11:00:00,212.97,62.8,19.4
2021-01-05 12:00:00,201.9,61.6,19.9
2021-01-05 13:00:00,206.2,62.1,20.2
2021-01-05 14:00:00,220.61,63.0,20.0
2021-01-05 15:00:00,206.29,63.0,19.8
2021-01-05 16:00:00,208.04,64.1,19.7
2021-01-05 17:00:00,195.55,66.3,19.3
2021-01-05 18:00:00,148.66,67.9,19.1
2021-01-05 19:00:00,129.71,67.7,18.9
2021-01-05 20:00:00,122.71,69.9,18.7
2021-01-05 21:00:00,110.39,70.9,18.6
2021-01-05 22:00:00,109.55,72.1,18.4
2021-01-05 23:00:00,104.89,73.7,18.2
2021-01-06 00:00:00,102.68,76.0,17.9
2021-01-06 01:00:00,82.21,76.9,17.6
2021-01-06 02:00:00,82.81,75.5,17.3
2021-01-06 03:00:00,88.56,75.2,17.2
2021-01-06 04:00:00,101.49,74.9,17.0
2021-01-06 05:00:00,92.22,75.2,16.7
2021-01-06 06:00:00,87.4,74.9,16.7
2021-01-06 07:00:00,91.76,73.9,16.7
2021-01-06 08:00:00,89.38,73.0,16.9
2021-01-06 09:00:00,91.39,69.8,17.2
2021-01-06 10:00:00,89.58,68.8,17.4
2021-01-06 11:00:00,84.75,65.6,17.8
2021-01-06 12:00:00,89.62,67.0,17.8
2021-01-06 13:00:00,97.01,67.8,18.1
2021-01-06 14:00:00,95.21,66.9,18.1
2021-01-06 15:00:00,96.04,65.5,18.5
2021-01-06 16:00:00,98.8,66.0,18.3
2021-01-06 17:00:00,102.15,67.6,17.9
2021-01-06 18:00:00,102.78,69.0,17.6
2021-01-06 19:00:00,107.84,69.9,17.5
2021-01-06 20:00:00,114.24,70.8,17.4
2021-01-06 21:00:00,130.4,72.7,17.2
2021-01-06 22:00:00,131.83,73.9,17.2
2021-01-06 23:00:00,120.8,73.8,17.1
2021-01-07 00:00:00,123.62,73.2,17.0
2021-01-07 01:00:00,123.78,72.9,17.0
2021-01-07 02:00:00,129.72,74.5,16.8
2021-01-07 03:00:00,117.9,74.2,16.6
2021-01-07 04:00:00,109.55,74.7,16.3
2021-01-07 05:00:00,122.34,75.2,16.1
2021-01-07 06:00:00,121.22,71.9,15.8
