,location,longitude,latitude
0,S0000457-Nguyen Che Nghia,105.853036,21.020365
1,S0000210-Truong THCS Yen So,105.679643,21.044613
2,S0000349-Ecohome Phuc Loi,105.928087,21.04048
3,S0000370-Ba Trieu,105.848945,21.011621
4,S0000588-Truong THCS Ngo Si Lien,105.852513,21.019029
5,S0000399-Truong Mam non Thuc hanh Hoa Sen,105.821805,21.026463
6,S0000531- Minh Tri,105.74378,21.276385
7,S0000347- Gamuda Gardens ,105.878183,20.970791
8,S0000509-Van Phu,105.770437,20.95893
9,S0000403-Truong THCS PASCAL,105.784333,21.167872
10,S0000148-TT doi moi CN - CNC Hoa Lac,105.538289,20.996996
11,S0000551-Truong Mam non Viet - Bun,105.856947,21.012327
12,S0000169-Ngoc Thuy,105.8542,21.071805
13,S0000289- Nhan Chinh,105.804213,21.005368
14,S0000319-Bat Trang,105.91214,20.976621
15,S0000328-Luong The Vinh,105.78408,20.99687
16,S0000497-Chuyen My,105.864031,20.741247
17,S0000331-Truong THCS Le Quy Don,105.765046,21.035681
18,S0000157-Truong Mam non GCA Ecolife Capitol,105.785889,20.993518
19,S0000611-Nguyen Ngoc Vu,105.8095729,21.01093309
20,S0000621-Truong Pho Thong Lien Cap Sinh Thai EraSchool,105.740606,21.148515
21,S0000336-Truong THCS Nguyen Trai,105.826515,21.030971
22,S0000554-Truong Mam Non Thuc hanh Hoa Hong,105.820114,21.006312
23,S0000137-Ngoc Khanh,105.8126417,21.026052
24,S0000630-Truong Tieu hoc Thi tran Soc Son,105.8498,21.2589
25,S0000310-Hang Trong,105.8506845,21.0287174
26,S0000475-Chung cu A1 - KDT Ha Dinh,105.810171,20.991423
27,S0000547-Phu Dong,105.375856,21.255655
28,S0000624-Cong ty co phan cong nghe MobiFone toan cau,105.813401,21.013729
29,S0000136-Linh Dam,105.832406,20.963258
30,S0000504-Le Trong Tan,105.730313,21.008574
31,S0000182-Truong THCS Trung Hoa,105.798926,21.014074
32,S0000158-TT. Dong Anh,105.858228,21.168407
33,S0000636-Thon Nghe,105.3963,21.0831
34,S0000343-Vinh Hung,105.877857,20.988818
35,S0000334-Truong mam non GCA Ecohome 1,105.78218,21.086753
36,S0000508-He thong lien cap Lomonoxop - Tieu hoc,105.78164,21.015053
37,S0000625-Thanh Cong,105.8141376,21.0222787
38,S0000341-Ho Kim Lien,105.837013,21.00694
39,S0000346-Dinh Cong,105.838451,20.984635
40,S0000264-FDS - Ton That Thuyet,105.785088,21.026053
41,S0000552-Truong Mam non Tuy Lai A,105.6828,20.7735
42,S0000238-He thong lien cap Lomonoxop - Mam non,105.733799,21.006896
43,S0000538-Le Quang Dao,105.7286447,21.0395731
44,S0000494-NetNam - VAST,105.799105,21.048747
45,S0000541-Tran Quang Khai,105.859016,21.025092
46,S0000304-Cum chung cu Van phong Quoc hoi,105.755545,21.031109
47,S0000632-Dai hoc Tai nguyen và Moi truong Ha Noi,105.762502,21.046955
48,S0000144-Pham Tuan Tai,105.782624,21.043288
49,S0000348- Cau Dien,105.760372,21.032623
50,S0000262-Ly Thai To,105.855492,21.027889
51,S0000400-Truong Spring Hill,105.497119,20.949513
52,S0000548-Tran Hung Dao - Son Tay,105.500957,21.1406546
53,S0000337-VNU-HUS_Thuong Dinh,105.8077276,20.996076
54,S0000368-Dai La,105.849143,20.996147
55,S0000171-GENESIS School,105.801322,21.050128
56,S0000397-Truong Mam Non Newstar,105.796849,21.009268
57,S0000318-Hoang Cau,105.822494,21.015968
58,S0000146-Thuong Mo,105.679652,21.107402
59,"S0000585-He thong lien cap Lomonoxop- TH, THCS",105.740817,20.979193
60,S0000553-Thu vien Truong Cao dang Su pham Trung uong,105.79231,21.045539
61,S0000339-Kim Ma,105.824145,21.031718
62,S0000189-Co Dong,105.513646,21.036451
63,S0000192-Gia Thuong,105.868945,21.064131
64,S0000153-Truong Tieu hoc Tran Quoc Toan,105.850535,21.026903
65,S0000595-Trung tam Sao Mai,105.805237,21.003623
66,S0000352-Dai hoc Mo Dia Chat,105.7738975,21.0723289
67,S0000431-Times City 2,105.87,20.9909
68,S0000229-Quan Hoa,105.805607,21.039073
69,S0000099-Phu Vien,105.866414,21.037787
70,S0000323-Ly Thuong Kiet,105.855528,21.021585
