Unnamed: 0,timestamp,PM2.5,humidity,temperature
0,2021-01-01 00:00:00,35.9,57.0,16.1
1,2021-01-01 01:00:00,34.9,55.4,15.8
2,2021-01-01 02:00:00,39.5,52.1,15.6
3,2021-01-01 03:00:00,72.2,59.2,15.0
4,2021-01-01 04:00:00,78.08,58.3,14.3
5,2021-01-01 05:00:00,53.5,56.5,13.7
6,2021-01-01 06:00:00,45.2,55.3,13.3
7,2021-01-01 07:00:00,55.5,58.1,12.9
8,2021-01-01 08:00:00,51.6,56.9,12.6
9,2021-01-01 09:00:00,58.9,47.8,13.5
10,2021-01-01 10:00:00,33.0,38.9,14.8
11,2021-01-01 11:00:00,33.4,34.4,16.2
12,2021-01-01 12:00:00,38.8,26.7,21.0
13,2021-01-01 13:00:00,36.7,27.3,19.9
14,2021-01-01 14:00:00,29.1,27.7,19.4
15,2021-01-01 15:00:00,43.4,27.4,19.5
16,2021-01-01 16:00:00,32.7,29.8,18.7
17,2021-01-01 17:00:00,31.7,31.2,18.6
18,2021-01-01 18:00:00,38.3,33.9,18.2
19,2021-01-01 19:00:00,46.7,37.0,17.8
20,2021-01-01 20:00:00,51.2,40.2,17.4
21,2021-01-01 21:00:00,63.0,42.9,17.2
22,2021-01-01 22:00:00,74.1,44.1,16.9
23,2021-01-01 23:00:00,87.0,46.8,16.5
24,2021-01-02 00:00:00,91.32,51.3,16.1
25,2021-01-02 01:00:00,100.15,57.7,15.5
26,2021-01-02 02:00:00,112.9,57.9,15.2
27,2021-01-02 03:00:00,124.4,59.4,14.8
28,2021-01-02 04:00:00,100.12,62.5,14.6
29,2021-01-02 05:00:00,120.41,63.7,14.4
30,2021-01-02 06:00:00,104.32,63.0,14.1
31,2021-01-02 07:00:00,75.33,60.6,13.7
32,2021-01-02 08:00:00,75.14,56.9,14.1
33,2021-01-02 09:00:00,89.2,60.2,14.6
34,2021-01-02 10:00:00,104.41,57.9,15.6
35,2021-01-02 11:00:00,92.4,51.3,17.0
36,2021-01-02 12:00:00,75.5,40.7,21.2
37,2021-01-02 13:00:00,66.7,39.1,20.5
38,2021-01-02 14:00:00,57.4,37.6,20.3
39,2021-01-02 15:00:00,57.1,37.4,20.4
40,2021-01-02 16:00:00,63.6,39.3,19.9
41,2021-01-02 17:00:00,70.7,41.4,19.5
42,2021-01-02 18:00:00,92.7,44.7,19.0
43,2021-01-02 19:00:00,102.6,46.2,18.6
44,2021-01-02 20:00:00,110.5,49.3,18.1
45,2021-01-02 21:00:00,118.25,50.2,17.8
46,2021-01-02 22:00:00,93.27,51.8,17.2
47,2021-01-02 23:00:00,63.6,56.5,16.8
48,2021-01-03 00:00:00,73.5,60.2,16.5
49,2021-01-03 01:00:00,77.2,64.2,16.2
